_id,market_id,market_type,market_name,address1,city,state,zip_code,latitude,longitude,phone,phone_ext,county
2195,3636,Farm Stand,Garfield Farm Stand,509 Wicklow Street,Pittsburgh,PA,15224,40.4688884,-79.9350143,,,Allegheny
2196,3666,Farm Market,Lawrenceville Farmers Market,123 41st Street,Lawrenceville,PA,15201,40.471285,-79.96358,4128027220,,Allegheny
2197,3671,Farm Stand,Renzie Market,Tulip Drive,McKeesport,PA,15132,40.3398434,-79.8289475,,,Allegheny
2198,3677,Farm Market,Carnegie Farmers Market,Mary & E Main Streets,Carnegie,PA,15106,40.4254803,-80.1408716,,,Allegheny
2199,3321,Farm Market,Robinson FM,5718 Steubenville Pike,McKees Rocks,PA,15136,40.4525503,-80.1363663,,,Allegheny
2200,3333,Farm Stand,Duda's Farm Market,1001 Lebanon Rd,West Mifflin,PA,15122,40.3613939,-79.931972,,,Allegheny
2201,3479,Farm Stand,Pittsburgh Urban Garden Project,1612 Steuben Street,Crafton,PA,15205,40.443894,-80.05627,,,Allegheny
2202,3481,Farm Market,Holy Cross FM,123 Gilkeson Rd,Mt Lebanon,PA,15228,40.3554255,-80.0530258,,,Allegheny
2203,3482,Farm Market,The Block at Northway,8013 McKnight Rd,Pittsburgh,PA,15237,40.5516087,-80.0209421,,,Allegheny
2204,3509,Farm Stand,Homewood Farmers Market,517 Brushton Ave,PITTSBURGH,PA,15208,40.4504489,-79.8908929,,,Allegheny
2205,2743,Farm Market,Ross Township Farmers Market,920 Perry Hwy,Pittsburgh,PA,15229,40.5333953,-80.0356397,,,Allegheny
2206,3021,Farm Stand,BEDNERS FARM MARKET,1520 BOWER HILL ROAD,UPPER ST CLAIR,PA,15241,40.361279,-80.089355,,,Allegheny
2207,3171,Farm Market,Swissvale FM,2036 Noble Street,Swissvale,PA,15218,40.4209151,-79.8857961,,,Allegheny
2208,3172,Farm Market,West Homestead FM,456 W 8th Ave,West Homestead,PA,15120,40.4012136,-79.9173288,,,Allegheny
2209,3262,Farm Market,Squirrel Hill Farmers Market,5737 Beacon Street,Pittsburgh,PA,15127,40.4356299,-79.9236259,,,Allegheny
2210,3319,Farm Market,Mount Lebanon,710 Washington Rd,Mt Lebanon,PA,15228,40.3799988,-80.045239,,,Allegheny
2211,2446,Farm Market,Upper St Clair Farmers Market,2040 Washington Road,Upper St Clair,PA,15241,40.340036,-80.0653899,,,Allegheny
2212,2486,Farm Market,Verona Farmers Market,736 East Railroad Avenue,Verona,PA,15147,40.505477,-79.844506,4127210943,,Allegheny
2213,2501,Farm Stand,Tarentum,913 Lock St,Tarentum,PA,15084,40.6030221,-79.7524571,,,Allegheny
2214,2621,Farm Market,Bellevue Farmers Market,34 North Balph Ave,Bellevue,PA,15202,40.496515,-80.054326,,,Allegheny
2215,2731,Farm Stand,SHILOH FARM STAND,7209 THOMAS BLVD,PITTSBURGH,PA,15208,40.4509213,-79.8998585,,,Allegheny
2216,2739,Farm Market,Aspinwall FM,250 Freeport RD,Aspinwell,PA,15215,40.4893588,-79.9030552,,,Allegheny
2217,1645,Farm Market,Sewickley Farmers Market,200 Walnut Street,Sewickley,PA,15143,40.5375987,-80.1847631,,,Allegheny
2218,1666,Farm Stand,Bachman's Farm Market,2905 Freeport Road,Natrona Heights,PA,15065,40.6395268,-79.7111371,7242268095,,Allegheny
2219,1819,Farm Market,The Original Farmers Market,157 Parks Rd,Cuddy,PA,15031,40.3409599,-80.1716081,7248993438,,Allegheny
2220,1846,Farm Market,Blackberry Meadows Farm,7115 Ridge Road,Natrona Heights,PA,15065,40.659435,-79.745694,,,Allegheny
2221,2217,Farm Market,Shenot Farm Market,3754 Wexford Run Road,Wexford,PA,15090,40.626413,-80.079126,7249352542,,Allegheny
2222,2379,Farm Market,Braddock Farm Stand,1000 Braddock Avenue,Braddock,PA,15104,40.399053,-79.8631369,4123624769,,Allegheny
2223,1485,Farm Market,Bloomfield Farmers Market,5050 Liberty Ave,Pittsburgh,PA,15224,40.4590954,-79.9442895,,,Allegheny
2224,1538,Farm Market,Green Tree Farmer's Market in the Park,895 Greentree Road,Pittsburgh,PA,15220,40.4233586,-80.0444059,4129211110,,Allegheny
2225,1477,Farm Stand,Wexford Farms,550 Warrendale Road,Wexford,PA,15090,40.6520911,-80.0562206,7246251635,,Allegheny
2226,1512,Farm Stand,Dillner Family Farm,4140 Sandy Hill Rd,Gibsonia,PA,15044,40.669875,-79.91975,7244446594,,Allegheny
2227,1579,Farm Stand,Olde World Produce,1206 State Route 51,Jefferson Hills,PA,15025,40.312175,-79.93862,,,Allegheny
2228,1360,Farm Market,Bethel Park Farmers Market,Corrigan Drive,Bethel Park,PA,15102,40.3191781,-80.0081111,,,Allegheny
2229,489,Farm Market,Farmers Market Cooperative of East Liberty,344 North Sheridan Avenue,Pittsburgh,PA,15206,40.4644172,-79.9214983,4126611875,,Allegheny
2230,545,Farm Market,Mt Lebanon Farmers Market,975 Washington Road,Pittsburgh,PA,15228,40.374029,-80.047817,4127205163,,Allegheny
2231,819,Farm Stand,Harvest Valley Farm Market & Bakery,5820 William Flynn Hwy,Bakerstown,PA,15007,40.6475138,-79.9368344,,,Allegheny
2232,929,Farm Market,Forest Hills Farmers Market,4400 Greensburg Pike,Pittsburgh,PA,15221,40.417691,-79.840482,7243391709,,Allegheny
2233,928,Farm Stand,Bridge's Farm and Greenhouses,7108 Leechburg Road,New Kensington,PA,15068,40.5128978,-79.7632284,7243391709,,Allegheny
2234,1060,Farm Stand,Soergel Orchards,2573 Brandt School Road,Wexford,PA,15090,40.6153181,-80.0928344,7249351743,,Allegheny
2235,296,Farm Market,Southside Farmers Market,18th and Carson Streets,Pittsburgh,PA,15203,40.4287528,-79.980545,,,Allegheny
2236,303,Farm Stand,Sturges Orchards,1726 Penn Ave,Pittsburgh,PA,15222,40.449865,-79.9856963,7247528920,,Allegheny
2237,317,Farm Stand,Triple B Farms,823 Berry Lane,Monongahela,PA,15063,40.227675,-79.946589,7242583557,,Allegheny
2238,406,Farm Stand,Janoski's Farm,1714 Route 30,Clinton,PA,15026,40.6308623,-79.8263713,7248993438,,Allegheny
2239,425,Farm Market,Moon Farmers Market,1350 Joe DeNardo Way,Moon Township,PA,15108,40.4910678,-80.184571,4122621700,,Allegheny
2240,428,Farm Market,Northside Farmers Market,East Ohio St. amd Cedar Ave.,Pittsburgh,PA,15212,40.5167764,-80.030741,4122552539,,Allegheny
2241,51,Farm Market,Carrick Citiparks Farmers Market,1529 Brownsville Road,Pittsburgh,PA,15210,40.400025,-79.9887559,,,Allegheny
2242,90,Farm Market,East End Farmers Market,100 Larimer Ave,Pittsburgh,PA,15206,40.4620611,-79.9194115,,,Allegheny
2243,92,Farm Stand,Eichner's Farm Market & Greenhouses,285 Richard Road,Wexford,PA,15090,40.608589,-80.061099,7249352131,,Allegheny
2244,207,Farm Market,Monroeville FM,2399 Tillbrook Rd,Monroeville,PA,15146,40.4183624,-79.763612,7245388621,,Allegheny
2245,227,Farm Market,Pgh Original Night Farmers Market,151 Park Road,McDonald,PA,15057,40.3712883,-80.2263223,,,Allegheny
2246,242,Farm Market,Pittsburgh Market Square,Smithfield St & 6th Ave,Pittsburgh,PA,15222,40.4395392,-79.9990153,,,Allegheny
2247,4138,Farm Stand,Festa Family Farms Farm Stand,2604 Golden Mile Hwy,Plum,PA,15239,40.4696969,-79.705956,,,Allegheny
2248,4146,Farm Market,Farmer Girl EB Market,1 Noblestown Rd,Pittsburgh,PA,15220,40.440442,-80.0357939,,,Allegheny
2249,4207,Farm Market,Farmers Market on the Mount,403 Grandview Ave,Pittsburgh,PA,16101,40.434388,-80.011829,,,Allegheny
2250,4208,Farm Market,Pine Community Park Farmers Market,200 Pine Park Dr,Wexford,PA,15090,40.6617072,-80.0346603,,,Allegheny
2251,4240,Farm Market,Veggie Vault @ SD Terminal,2001 Smallman St,Pittsburgh,PA,15222,40.451015,-79.986405,,,Allegheny
2252,21,Farm Stand,Beccari's Farm Market,5095 Thomas Run Road,Oakdale,PA,15071,40.3753878,-80.1353771,4122218768,,Allegheny
